rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.7,0,6,20,joint,0.256,NA,0.09342611922157551,NA,0.744,NA,-0.4576716272620187,NA,0.2612742950566112,NA,0.31290738583293654,NA,1.5166686196207992,NA,0.744,NA,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,lsam,0.513,NA,0.1434853676385241,NA,0.487,NA,-0.16106176294195007,NA,0.25962356447928003,NA,0.31084903434272443,NA,1.517981513151138,NA,0.487,NA,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,rel,0.942,0.942,0.11295717097590485,0.1129945395548846,0.05800000000000005,0.05800000000000005,-0.01996990946508792,-0.019645695149836495,-0.006202372238653253,-0.006202372238653253,0.11536808188937948,0.11536808188937948,-0.05381253243209494,-0.05381253243209494,0.058,0.058,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,tspa,0.939,0.939,0.11274666212101273,0.11280677670592532,0.061000000000000054,0.061000000000000054,-0.021796175218601777,-0.021274613730390968,-0.0062023740750304,-0.0062023740750304,0.1153680661645248,0.1153680661645248,-0.053812555766907945,-0.053812555766907945,0.061,0.061,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,gsam,0.032,NA,0.13169049290323367,NA,0.968,NA,-0.1415322150522157,NA,0.5363185425125194,NA,0.5578047645970675,NA,3.4961687899175686,NA,0.968,NA,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,joint,0.017,NA,0.08337193285900361,NA,0.983,NA,-0.4580199161547044,NA,0.537059064141887,NA,0.5586340071653872,NA,3.4912866552554886,NA,0.983,NA,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,lsam,0.032,NA,0.13169049265622854,NA,0.968,NA,-0.14153222387577247,NA,0.5363185431231569,NA,0.5578047655383102,NA,3.4961687645212565,NA,0.968,NA,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,rel,0.935,0.938,0.12011611492675603,0.1202606360530167,0.06499999999999995,0.062000000000000055,-0.05691384270694477,-0.05577914172451659,8.694460663380711e-4,8.694460663380711e-4,0.12730421392493924,0.12730421392493924,0.006826415840841406,0.006826415840841406,0.065,0.062,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,tspa,0.931,0.932,0.11981301482946524,0.12009307736051589,0.06899999999999995,0.06799999999999995,-0.05931042335354675,-0.05711156453888844,8.725888217227047e-4,8.725888217227047e-4,0.12730650944055025,0.12730650944055025,0.00685096865696174,0.00685096865696174,0.069,0.068,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,gsam,0.019,NA,0.10786227021019319,NA,0.981,NA,-0.24163900826195328,NA,0.4558716727647576,NA,0.4775231358562955,NA,3.205154992468285,NA,0.981,NA,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,joint,0.012,NA,0.06048587446637206,NA,0.988,NA,-0.5758093421883972,NA,0.4570282119270831,NA,0.47873449602896134,NA,3.205163181753998,NA,0.988,NA,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,lsam,0.019,NA,0.10786227042964847,NA,0.981,NA,-0.24163900646821135,NA,0.4558716748120588,NA,0.4775231377967741,NA,3.2051550079224502,NA,0.981,NA,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
