rel,path,N_per_p,n_items,method,convergence,coverage,coverage_corrected,mean_se,mean_se_corrected,out_se,out_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rbias,rbias_corrected,rmse,rmse_corrected,sbias,sbias_corrected,stdMed_rsb,stdMed_rsb_corrected,type1,type1_corrected,warning_total,N,N_lab,path_lab,rel_lab
0.7,0,6,20,gsam,1,0.9445,NA,0.1112647876322547,NA,1.6,NA,0.055499999999999994,NA,0.01078082388837287,NA,-0.00654391289859804,NA,0.11024492056305978,NA,-0.059447933275713204,NA,0.01857639111618159,NA,0.0555,NA,0,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,joint,1,0.936,NA,0.11105357699715233,NA,1.6,NA,0.06399999999999995,NA,-0.023614148707033933,NA,-0.006784725983733895,NA,0.11391322882121131,NA,-0.05965148205525512,NA,-0.023798099899784986,NA,0.064,NA,29,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,lsam,1,0.9445,NA,0.11126478416411924,NA,1.6,NA,0.055499999999999994,NA,0.010780406506033513,NA,-0.006543894537950584,NA,0.11024496141209601,NA,-0.059447743784284746,NA,0.018565315059751564,NA,0.0555,NA,0,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,rel,1,0.937,0.938,0.11124516184250684,0.11127717504307783,1.5,1.4500000000000002,0.06299999999999994,0.062000000000000055,-0.021985177533066613,-0.02170373262207481,-0.00667437511966518,-0.00667437511966518,0.11391314519580037,0.11391314519580037,-0.05867794778327919,-0.05867794778327919,-0.02225893447052718,-0.022017695768304146,0.063,0.062,0,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,6,20,tspa,1,0.936,0.936,0.11105000904357915,0.11109976212282253,1.6,1.55,0.06399999999999995,0.06399999999999995,-0.02370069439386735,-0.023263288785930536,-0.006674369420566743,-0.006674369420566743,0.1139131246059825,0.1139131246059825,-0.05867790814948051,-0.05867790814948051,-0.02346709169083183,-0.023272600626973894,0.064,0.064,0,120,italic(N) == 120,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,gsam,1,0.9445,NA,0.11965214518912881,NA,1.8499999999999999,NA,0.055499999999999994,NA,-0.022837312762475692,NA,-0.0017591235328978702,NA,0.12243056334208101,NA,-0.014366226998038212,NA,-0.04984800829958258,NA,0.0555,NA,0,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,joint,1,0.9315,NA,0.11941807361009463,NA,1.6,NA,0.0685,NA,-0.06591152916809084,NA,-0.001632685633853467,NA,0.12782296257763665,NA,-0.012770871116669011,NA,-0.08943694165249605,NA,0.0685,NA,4,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,lsam,1,0.9445,NA,0.11965214542822161,NA,1.8499999999999999,NA,0.055499999999999994,NA,-0.022837328398459977,NA,-0.0017591230984797426,NA,0.12243056553909105,NA,-0.01436622319169052,NA,-0.04984662275402896,NA,0.0555,NA,0,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,rel,1,0.934,0.935,0.11974173907661516,0.11988713025065217,1.9,1.7000000000000002,0.06599999999999995,0.06499999999999995,-0.06292350350953124,-0.06178569932330613,-0.001303276014857907,-0.001303276014857907,0.12775694377642186,0.12775694377642186,-0.010199194795239232,-0.010199194795239232,-0.08525647485285648,-0.08462906889723587,0.066,0.065,0,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,5,tspa,1,0.9305,0.933,0.1194352280013869,0.11971492945061538,1.8499999999999999,1.6500000000000001,0.0695,0.06699999999999995,-0.06533395381217688,-0.06314509000676471,-0.0013015833622430132,-0.0013015833622430132,0.1277585326814812,0.1277585326814812,-0.010185820342365015,-0.010185820342365015,-0.0871920449489747,-0.08576371991100562,0.0695,0.067,0,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,gsam,1,0.9465,NA,0.08364267136044037,NA,1.15,NA,0.05349999999999999,NA,0.008945280384674126,NA,7.47333682868557e-4,NA,0.08288373922237595,NA,0.009014762201382151,NA,-4.7724685563155234e-4,NA,0.0535,NA,0,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,joint,1,0.942,NA,0.0835563957086859,NA,1,NA,0.05800000000000005,NA,-0.008474744262388034,NA,6.249421961745137e-4,NA,0.0842518147411826,NA,0.007415901148291702,NA,-0.014651588305512275,NA,0.058,NA,0,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,lsam,1,0.9465,NA,0.08364267150962612,NA,1.15,NA,0.05349999999999999,NA,0.008945267283171576,NA,7.473320892555977e-4,NA,0.08288374043201346,NA,0.009014742845181637,NA,-4.7902059504412176e-4,NA,0.0535,NA,0,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,rel,1,0.9425,0.9425,0.08364447094451352,0.08366769529384341,1,1.05,0.057499999999999996,0.057499999999999996,-0.007428539885240282,-0.007152946937323046,6.387162247955656e-4,6.387162247955656e-4,0.0842518283950697,0.0842518283950697,0.007579359265298882,0.007579359265298882,-0.015658884528165107,-0.015369661241844912,0.0575,0.0575,0,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,10,tspa,1,0.942,0.942,0.08355225477143946,0.0835940782423496,1,1.05,0.05800000000000005,0.05800000000000005,-0.008522706222446219,-0.008026405771096257,6.387166080488789e-4,6.387166080488789e-4,0.08425181805940012,0.08425181805940012,0.007579364743314524,0.007579364743314524,-0.01653361411965737,-0.016061987767090447,0.058,0.058,0,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,gsam,1,0.9525,NA,0.05551637142945908,NA,1.2,NA,0.04749999999999999,NA,5.667613257778203e-4,NA,-0.0020193515095595404,NA,0.05550779551795995,NA,-0.036394597627217376,NA,-0.020066270961005106,NA,0.0475,NA,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,joint,1,0.9505,NA,0.05544669593891555,NA,1.25,NA,0.04949999999999999,NA,-0.008216543666647702,NA,-0.002006050069739494,NA,0.055928060665897054,NA,-0.03588252172745986,NA,-0.03082182368084696,NA,0.0495,NA,1,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,lsam,1,0.9525,NA,0.05551637135416972,NA,1.2,NA,0.04749999999999999,NA,5.664450151661171e-4,NA,-0.0020193287138408527,NA,0.055507812138028474,NA,-0.0363941753259606,NA,-0.020065062179523196,NA,0.0475,NA,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,rel,1,0.9505,0.9505,0.05547024287178829,0.05547413647925063,1.25,1.2,0.04949999999999999,0.04949999999999999,-0.007800033648386107,-0.007730388429740609,-0.001996102942196132,-0.001996102942196132,0.055927968086562634,0.055927968086562634,-0.035704427627243046,-0.035704427627243046,-0.030484994984994684,-0.03044227811823197,0.0495,0.0495,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,25,20,tspa,1,0.9505,0.9505,0.05544630218491833,0.055452302500110705,1.25,1.25,0.04949999999999999,0.04949999999999999,-0.008228255401994011,-0.008120927359690389,-0.001996102759859938,-0.001996102759859938,0.055927967690139725,0.055927967690139725,-0.03570442461502271,-0.03570442461502271,-0.03083502189610432,-0.030777433830141865,0.0495,0.0495,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,gsam,1,0.944,NA,0.061063330852043456,NA,1.25,NA,0.05600000000000005,NA,-0.02302083449552661,NA,9.7799361501985e-4,NA,0.062494208718937384,NA,0.015647351242367113,NA,-0.016431743831163526,NA,0.056,NA,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,joint,1,0.9415,NA,0.06105136491503117,NA,1.2,NA,0.058499999999999996,NA,-0.03209647585722586,NA,9.96687669603284e-4,NA,0.06306798339116895,NA,0.01580140770351809,NA,-0.02445470711178932,NA,0.0585,NA,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,lsam,1,0.944,NA,0.06106333087141907,NA,1.25,NA,0.05600000000000005,NA,-0.023020821314003292,NA,9.779980487889656e-4,NA,0.06249420796517486,NA,0.015647422386346907,NA,-0.01643131105360296,NA,0.056,NA,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
0.7,0,100,5,rel,1,0.942,0.942,0.06108503072894199,0.061099520101186904,1.15,1.2,0.05800000000000005,0.05800000000000005,-0.03156287488149845,-0.03133316154855603,9.966740435613625e-4,9.966740435613625e-4,0.06306799191209557,0.06306799191209557,0.015801189487975164,0.015801189487975164,-0.024160585747320495,-0.023745607467563157,0.058,0.058,0,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.7
